q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q6,id,q6dik,thetas_q1,thetas_q2,thetas_q3,thetas_q4,thetas_nosacq,nosacq_sumscore,nosacq_dik
3,2,3,2,2,3,3,3,2,3,2,3,3,2,2,2,3,2,2,1,1,1,NA,3,NA,4.548904768653117,4.669683127331431,2.187672542375579,2.522836086014549,4,13,1
1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,1,NA,4,NA,0.29560398914264474,0.0690400274080154,-0.1560900137234581,1.6818738433512992,0.6712963103208984,7,0
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,NA,5,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
3,3,3,2,0,3,3,3,3,2,2,3,3,3,3,2,2,2,2,1,3,3,NA,6,NA,5.212645093423153,5.973920818306586,3.913291741954898,3.3639667805164555,3.607071053400111,12,1
1,1,2,2,0,1,1,2,3,3,2,2,2,2,3,2,1,0,1,3,2,1,NA,7,NA,1.6724902460457465,1.6955009110512618,2.709169651013498,-1.2664597901862424,1.2237390470267122,8,0
3,2,2,3,1,2,3,3,3,2,3,2,3,2,3,3,3,3,1,2,2,2,NA,8,NA,5.212645093423153,3.9273517066722574,3.2792549970355394,3.363966780516456,4,13,1
3,3,2,2,0,2,2,3,3,3,2,3,3,3,3,2,2,2,1,1,3,2,NA,9,NA,4.548904768653119,3.9273517066722574,4.688697376262988,1.681873843351298,4,13,1
3,2,2,3,2,1,2,2,1,1,2,1,3,1,2,2,2,2,3,1,2,2,NA,10,NA,4.548904768653118,0.6131642011273591,1.2828974003997355,3.363966780516455,3.0056371358087315,11,1
1,1,1,2,3,0,1,1,0,1,1,1,2,0,1,1,1,2,1,2,0,2,NA,12,NA,0.29560398914264474,-1.5670801665531795,-0.8355582562827562,0.9501695254740972,0.10460154462159502,6,0
3,3,3,2,1,2,2,3,3,3,3,3,3,2,3,3,2,2,3,1,2,2,NA,13,NA,5.9829805655020305,3.9273517066722574,3.913291741954898,3.363966780516455,4,13,1
3,3,3,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,NA,14,NA,5.98298056550203,2.2341832520823717,0.525382146215061,2.522836086014548,4,13,1
2,2,2,1,1,1,2,2,1,2,2,2,2,2,3,2,2,2,1,2,3,2,NA,15,NA,2.346912601165269,1.155997470178302,2.7091696510134984,1.681873843351298,1.7921523997348396,9,1
1,1,2,1,2,2,1,2,1,2,1,1,2,1,2,1,0,2,2,2,1,2,NA,16,NA,0.29560398914264496,0.6131642011273589,0.5253821462150611,0.950169525474097,-0.4908497955986153,5,0
2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,NA,17,NA,3.1026330451050166,-0.4714819625098114,0.5253821462150609,2.522836086014548,1.792152399734839,9,1
3,2,2,3,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,NA,19,NA,3.8655871034324223,2.2341832520823717,1.2828974003997358,1.681873843351298,3.6070710534001114,12,1
3,2,2,3,2,0,0,1,1,0,0,0,2,2,2,2,1,1,1,2,1,1,NA,20,NA,4.548904768653118,-2.1824896947585763,-0.15609001372345782,-0.4950284156778258,1.79215239973484,9,1
3,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,3,2,1,3,3,NA,21,NA,3.865587103432423,1.155997470178302,1.2828974003997358,4.121989414829279,2.3933626611217846,10,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,NA,22,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
3,3,3,2,0,3,3,3,3,3,2,3,3,3,3,2,3,3,3,1,3,3,NA,23,NA,5.212645093423153,5.973920818306586,4.688697376262988,6.281357121823078,4,14,1
1,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,NA,24,NA,1.0184289485454514,2.2341832520823717,0.5253821462150611,2.522836086014548,1.2237390470267122,8,0
2,2,2,3,3,1,1,1,2,2,2,2,3,1,2,1,1,1,1,2,1,2,NA,25,NA,3.102633045105017,0.6131642011273595,1.2828974003997358,0.24873661708094072,2.3933626611217855,10,1
3,2,3,2,1,3,3,3,3,2,2,2,3,3,3,2,2,3,2,1,3,2,NA,26,NA,4.548904768653117,4.66968312733143,3.913291741954898,3.3639667805164546,3.005637135808732,11,1
1,1,0,1,0,2,2,3,3,0,1,0,0,1,1,0,3,2,3,2,1,2,NA,27,NA,-2.2037978408134937,2.2341832520823712,-1.2010180254737783,4.121989414829279,0.10460154462159488,6,0
3,3,3,3,1,2,3,3,3,3,2,3,3,3,3,3,2,2,3,1,3,3,NA,28,NA,7.295476831510103,4.669683127331429,4.688697376262988,4.121989414829278,4,14,1
2,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,1,3,3,NA,29,NA,3.1026330451050166,2.2341832520823717,3.913291741954898,3.3639667805164555,2.393362661121786,10,1
3,3,2,2,3,2,2,1,3,3,2,1,3,2,2,2,2,1,3,2,3,3,NA,30,NA,4.548904768653119,1.695500911051261,3.2792549970355385,3.3639667805164555,4,13,1
2,2,2,3,2,1,1,2,2,2,1,3,3,3,3,2,2,1,1,2,3,3,NA,31,NA,3.8655871034324223,1.695500911051262,3.27925499703554,1.6818738433512983,3.0056371358087315,11,1
2,1,1,1,0,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,3,2,NA,32,NA,0.2956039891426443,0.6131642011273591,0.8899171831508687,1.681873843351298,0.6712963103208983,7,0
3,2,3,3,1,0,0,2,0,1,2,2,2,1,2,3,2,3,0,2,3,2,NA,33,NA,5.982980565502031,-1.0108880670714382,1.2828974003997358,1.6818738433512994,3.0056371358087315,11,1
2,2,1,2,0,2,1,1,2,0,2,2,3,1,2,2,1,3,2,1,3,1,NA,34,NA,2.3469126011652683,1.1559974701783016,1.2828974003997358,1.681873843351299,0.6712963103208983,7,0
3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,NA,35,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,2,NA,36,NA,7.295476831510103,5.973920818306586,6.017596473447941,1.681873843351298,4,14,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,NA,38,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
0,1,1,0,3,2,1,1,1,2,0,0,0,2,1,1,2,2,2,2,0,1,NA,39,NA,-2.2037978408134937,-0.47148196250981145,-0.8355582562827564,1.6818738433512992,-0.4908497955986151,5,0
2,3,3,3,1,2,2,3,3,3,2,3,3,3,3,2,3,2,3,1,2,3,NA,41,NA,5.212645093423154,3.9273517066722574,3.913291741954898,4.941333282279011,4,14,1
2,1,2,3,0,3,3,2,2,2,2,3,3,2,2,2,2,2,3,1,3,3,NA,42,NA,3.1026330451050157,3.927351706672258,2.709169651013498,4.121989414829278,2.3933626611217846,10,1
2,2,3,2,0,3,3,3,3,3,3,2,3,2,3,2,3,2,2,2,3,2,NA,43,NA,3.865587103432423,4.66968312733143,4.688697376262989,3.363966780516455,3.6070710534001105,12,1
2,2,2,1,0,3,1,2,2,1,1,1,2,0,2,2,1,0,1,3,2,2,NA,44,NA,2.346912601165269,1.6955009110512615,0.1798013671878688,-0.4950284156778258,0.6712963103208986,7,0
1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,1,1,2,2,1,NA,45,NA,0.2956039891426447,1.1559974701783018,1.2828974003997355,-0.4950284156778258,0.10460154462159484,6,0
2,2,1,1,0,2,2,3,2,1,2,2,3,2,2,2,2,1,2,2,2,2,NA,46,NA,1.6724902460457465,2.7746788901630715,1.7132660161098876,1.681873843351298,1.2237390470267122,8,0
2,3,3,3,0,3,3,3,2,2,1,2,2,0,2,2,3,2,1,1,3,3,NA,47,NA,5.212645093423154,3.9273517066722583,0.8899171831508685,3.363966780516454,4,13,1
3,2,3,2,1,2,2,2,3,3,3,2,3,3,2,2,2,2,1,2,2,3,NA,48,NA,4.548904768653117,2.7746788901630715,3.9132917419548976,2.522836086014548,3.607071053400112,12,1
1,1,0,2,1,1,0,0,1,1,1,0,3,0,2,1,3,3,2,3,3,3,NA,49,NA,-0.5843707865738104,-2.1824896947585763,0.889917183150869,4.94133328227901,1.2237390470267124,8,0
1,1,1,1,2,1,1,0,1,1,1,1,2,1,0,1,1,1,1,2,1,1,NA,50,NA,-0.5843707865738103,-1.010888067071438,-0.49131745167053514,-0.4950284156778258,-0.4908497955986152,5,0
1,1,0,1,1,1,1,1,1,2,2,3,3,3,3,0,2,2,1,2,1,1,NA,51,NA,-2.2037978408134937,0.6131642011273591,2.709169651013498,0.9501695254740968,0.6712963103208982,7,0
3,2,3,2,3,1,3,3,1,2,2,1,3,3,1,3,2,3,1,1,3,1,NA,53,NA,5.212645093423153,1.6955009110512609,2.7091696510134984,1.681873843351298,3.005637135808732,11,1
2,2,2,2,1,1,2,2,2,1,2,2,2,2,3,3,2,1,1,2,2,2,NA,54,NA,3.8655871034324223,1.6955009110512622,1.7132660161098872,0.9501695254740972,1.792152399734839,9,1
2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,NA,55,NA,2.3469126011652683,1.6955009110512618,0.8899171831508685,1.681873843351298,1.792152399734839,9,1
2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,NA,56,NA,3.1026330451050166,0.6131642011273593,1.7132660161098876,0.9501695254740972,1.7921523997348396,9,1
3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,NA,57,NA,5.98298056550203,2.7746788901630715,1.7132660161098876,3.363966780516455,4,14,1
2,2,2,2,0,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,NA,59,NA,3.1026330451050166,1.6955009110512615,1.2828974003997355,1.6818738433512983,1.7921523997348396,9,1
1,1,1,0,2,1,1,1,1,1,0,1,3,2,1,0,1,2,2,2,1,1,NA,61,NA,-2.2037978408134937,-0.4714819625098114,0.17980136718786863,0.9501695254740972,-1.0928668292272012,4,0
3,1,2,3,0,2,3,3,3,3,2,3,3,3,3,3,2,3,3,0,3,3,NA,62,NA,4.548904768653118,4.669683127331429,4.688697376262988,4.94133328227901,3.6070710534001105,12,1
2,3,2,1,2,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,NA,63,NA,2.3469126011652692,-0.4714819625098114,0.17980136718786868,1.6818738433512992,1.7921523997348403,9,1
2,2,2,2,0,2,3,3,3,2,2,2,2,2,3,3,2,2,3,1,3,2,NA,64,NA,3.8655871034324223,3.9273517066722574,2.7091696510134984,3.363966780516455,2.393362661121786,10,1
2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,3,NA,65,NA,2.3469126011652683,0.613164201127359,0.8899171831508685,3.3639667805164555,2.393362661121786,10,1
1,2,2,2,2,1,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,NA,66,NA,2.3469126011652683,0.06904002740801556,0.8899171831508688,2.522836086014548,1.7921523997348392,9,1
3,2,3,3,1,2,3,3,3,3,2,3,3,3,3,3,3,2,2,1,3,3,NA,67,NA,5.982980565502031,4.669683127331429,4.688697376262988,4.121989414829278,4,14,1
3,2,3,2,1,2,2,2,2,3,3,2,3,2,3,2,2,3,2,2,3,2,NA,68,NA,4.548904768653117,2.2341832520823717,4.688697376262989,3.3639667805164546,3.607071053400112,12,1
2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NA,69,NA,3.1026330451050166,1.6955009110512622,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
1,0,0,1,2,1,2,1,1,0,3,1,3,1,1,0,1,0,2,2,0,1,NA,70,NA,-2.8972037232013728,0.06904002740801556,0.17980136718786874,-0.4950284156778257,-1.6846662114014066,3,0
2,1,2,1,1,2,1,2,1,2,1,2,3,3,2,1,2,1,2,2,2,3,NA,71,NA,1.0184289485454514,1.1559974701783018,2.1876725423755783,2.522836086014548,1.2237390470267122,8,0
2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,NA,73,NA,4.548904768653119,5.973920818306586,6.017596473447941,6.281357121823078,4,13,1
3,3,2,2,0,2,2,2,2,2,2,2,3,2,3,2,2,3,3,2,3,2,NA,74,NA,4.548904768653119,2.2341832520823717,3.2792549970355394,4.121989414829279,3.607071053400111,12,1
3,1,1,1,0,1,1,1,1,3,3,3,3,1,2,1,1,2,1,1,3,2,NA,75,NA,1.0184289485454512,0.6131642011273591,3.2792549970355385,0.9501695254740972,1.7921523997348392,9,1
1,1,1,2,1,0,1,1,0,1,1,2,2,2,2,1,2,1,0,2,2,1,NA,76,NA,0.29560398914264474,-1.010888067071438,0.8899171831508685,-0.49502841567782574,0.6712963103208984,7,0
3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,NA,77,NA,7.295476831510103,5.973920818306586,4.688697376262989,6.281357121823078,4,15,1
2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NA,78,NA,2.346912601165269,1.6955009110512622,1.7132660161098876,2.522836086014548,1.7921523997348396,9,1
3,2,2,3,0,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,3,3,NA,79,NA,5.212645093423153,4.66968312733143,3.913291741954898,6.281357121823078,4,13,1
2,2,2,2,1,2,2,3,2,2,2,2,3,2,2,3,3,2,3,0,3,3,NA,80,NA,3.8655871034324223,2.7746788901630715,2.709169651013498,4.941333282279011,3.005637135808732,11,1
3,3,3,3,3,1,2,1,1,1,2,1,3,1,2,1,2,2,3,1,2,2,NA,81,NA,5.212645093423153,0.06904002740801556,1.2828974003997355,3.363966780516455,3.6070710534001105,12,1
1,2,1,1,2,1,0,1,0,2,2,2,2,1,3,1,2,1,0,0,1,2,NA,82,NA,0.29560398914264485,-1.010888067071438,1.2828974003997355,0.24873661708094072,1.2237390470267122,8,0
3,3,2,3,0,3,3,3,2,2,1,1,1,2,2,2,3,3,3,1,2,3,NA,84,NA,5.212645093423152,3.327324219782886,0.8899171831508688,6.281357121823078,4,14,1
3,2,3,3,0,2,0,3,1,3,2,2,2,2,2,2,3,1,3,0,3,3,NA,85,NA,5.212645093423153,1.1559974701783016,2.7091696510134984,4.121989414829279,4,14,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,86,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
2,1,2,2,0,3,2,2,3,1,2,2,3,1,3,2,3,2,2,1,3,3,Nej,87,0,2.3469126011652683,3.327324219782887,2.187672542375579,4.121989414829278,1.7921523997348396,9,1
3,2,3,3,2,1,3,3,2,1,3,3,3,3,3,3,2,3,2,1,3,3,Nej,90,0,5.982980565502031,3.3273242197828865,3.9132917419548985,4.121989414829279,3.0056371358087315,11,1
3,1,2,2,1,1,1,2,1,1,2,3,3,2,2,2,1,2,0,2,2,2,Nej,91,0,3.102633045105016,1.155997470178302,1.7132660161098876,0.24873661708094047,1.2237390470267118,8,0
2,1,2,1,1,2,2,2,2,3,1,1,2,1,2,2,2,2,2,2,2,2,Nej,93,0,1.6724902460457465,1.695500911051261,1.2828974003997355,2.522836086014548,1.7921523997348394,9,1
2,2,2,2,0,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,Nej,94,0,3.1026330451050166,1.6955009110512618,0.8899171831508689,0.9501695254740972,2.393362661121786,10,1
2,2,2,2,0,3,3,3,3,3,2,3,3,2,3,1,2,1,2,2,3,2,"Ja, fyra gånger eller fler",95,1,2.3469126011652683,5.973920818306586,3.9132917419548976,1.681873843351298,3.0056371358087315,11,1
2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nej,97,0,5.982980565502031,5.973920818306586,6.017596473447941,6.281357121823078,4,14,1
3,3,3,3,0,3,3,3,3,2,2,2,2,2,3,3,2,3,3,3,3,2,"Ja, en gång",98,1,7.295476831510103,4.66968312733143,2.7091696510134984,4.121989414829279,4,13,1
3,2,2,2,1,1,1,2,1,2,2,2,3,2,3,2,2,2,2,2,3,2,Nej,99,0,3.865587103432423,0.6131642011273593,3.2792549970355394,2.522836086014548,3.005637135808732,11,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,2,Nej,100,0,5.98298056550203,5.973920818306586,6.017596473447941,4.941333282279011,4,15,1
2,2,2,2,1,1,2,2,3,2,3,2,2,1,2,2,2,3,3,1,2,2,Nej,101,0,3.1026330451050166,2.2341832520823717,1.7132660161098874,4.121989414829279,2.393362661121786,10,1
1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,1,1,2,2,1,"Ja, tre gånger",102,1,-0.5843707865738103,0.6131642011273593,1.282897400399735,0.24873661708094072,0.10460154462159511,6,0
3,3,2,3,0,1,1,2,2,2,2,2,2,3,3,2,2,3,1,2,2,2,Nej,103,0,5.212645093423152,1.1559974701783011,2.709169651013498,2.522836086014548,4,13,1
3,2,3,2,1,2,2,2,2,2,1,2,2,2,2,3,3,2,2,1,3,2,Nej,104,0,5.212645093423153,2.2341832520823717,1.7132660161098874,3.363966780516455,3.607071053400111,12,1
2,2,2,2,1,1,1,2,2,2,2,3,3,3,1,2,2,2,2,1,2,2,Nej,105,0,3.1026330451050166,1.695500911051262,2.187672542375578,2.522836086014548,2.393362661121786,10,1
3,3,2,3,0,1,1,3,2,2,1,2,2,1,2,3,2,3,1,1,3,3,Nej,106,0,5.98298056550203,1.6955009110512618,1.282897400399736,3.3639667805164555,4,13,1
2,3,3,3,0,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,Nej,107,0,5.982980565502031,5.973920818306586,4.68869737626299,6.281357121823078,4,13,1
1,2,1,1,0,2,1,2,2,1,2,2,2,1,1,2,1,1,1,2,2,2,"Ja, två gånger",108,1,1.0184289485454514,1.6955009110512618,0.5253821462150612,0.24873661708094072,0.10460154462159502,6,0
1,1,2,1,2,1,1,1,1,1,2,1,3,1,2,1,2,2,3,2,2,2,"Ja, en gång",109,1,0.29560398914264496,-0.4714819625098114,1.2828974003997355,3.363966780516455,0.10460154462159511,6,0
2,3,2,3,1,2,1,3,2,2,3,3,3,2,3,3,1,2,2,3,3,2,Nej,110,0,5.212645093423152,2.7746788901630715,3.913291741954897,1.6818738433512983,3.005637135808732,11,1
2,2,2,1,1,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,Nej,111,0,2.346912601165269,1.6955009110512615,1.7132660161098876,2.522836086014548,1.7921523997348396,9,1
3,2,3,2,1,3,2,2,3,2,2,1,2,2,1,2,3,2,2,3,1,2,"Ja, två gånger",112,1,4.548904768653117,2.7746788901630715,0.8899171831508687,3.363966780516455,3.607071053400111,12,1
2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,Nej,113,0,3.1026330451050166,1.6955009110512622,2.1876725423755783,2.522836086014548,2.393362661121786,10,1
3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,2,1,3,3,Nej,114,0,7.295476831510103,4.66968312733143,3.2792549970355394,3.3639667805164555,4,13,1
3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,3,Nej,115,0,7.295476831510103,5.973920818306586,4.688697376262988,4.121989414829278,4,14,1
2,2,2,3,2,2,1,3,2,2,1,3,3,2,2,1,3,2,2,2,1,2,NA,116,NA,3.102633045105017,2.7746788901630715,1.2828974003997358,3.363966780516455,3.607071053400111,12,1
1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,3,2,1,Nej,117,0,1.0184289485454514,0.0690400274080155,0.17980136718786882,0.9501695254740972,0.6712963103208982,7,0
2,2,2,2,1,0,1,0,0,2,1,2,1,2,2,0,2,2,3,1,0,2,Nej,118,0,1.672490246045746,-1.5670801665531795,0.17980136718786868,3.363966780516455,2.393362661121786,10,1
