q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q6,id,q6dik,thetas_q1,thetas_q2,thetas_q3,thetas_q4,thetas_nosacq,nosacq_sumscore,nosacq_dik
3,3,3,3,0,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,Nej,301,0,7.295476831510103,5.973920818306586,4.688697376262988,6.281357121823078,4,15,1
2,2,2,2,1,1,1,3,2,3,2,3,3,3,2,1,2,1,1,2,2,2,Nej,302,0,2.3469126011652683,2.2341832520823712,3.279254997035538,0.9501695254740972,3.0056371358087315,11,1
2,2,2,2,0,3,3,3,3,3,1,3,3,3,3,2,2,3,3,2,3,3,"Ja, en gång",304,1,3.1026330451050166,5.973920818306586,3.9132917419548985,4.94133328227901,3.0056371358087315,11,1
2,2,1,2,0,1,2,2,2,2,3,3,3,2,3,1,1,2,1,1,2,1,Nej,305,0,1.6724902460457458,2.2341832520823717,3.2792549970355394,0.24873661708094036,1.7921523997348396,9,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nej,307,0,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
3,3,3,2,0,3,2,2,2,1,2,3,3,0,3,2,1,1,2,3,3,2,Nej,309,0,5.212645093423153,3.3273242197828865,1.7132660161098874,0.9501695254740968,2.393362661121785,10,1
1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,2,2,Nej,310,0,-0.5843707865738103,0.0690400274080154,0.525382146215061,0.24873661708094072,-0.4908497955986152,5,0
3,3,3,2,0,2,3,3,3,3,3,2,3,2,2,3,2,3,3,1,3,3,Nej,311,0,5.9829805655020305,3.9273517066722574,3.9132917419548976,4.94133328227901,4,13,1
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,Nej,313,0,-0.5843707865738103,-1.5670801665531795,-0.4913174516705352,-0.4950284156778258,-0.4908497955986152,5,0
0,0,1,0,3,0,0,1,0,0,2,1,2,1,1,1,2,1,1,3,0,0,"Ja, fyra gånger eller fler",316,1,-2.8972037232013728,-2.1824896947585763,-0.4913174516705352,-0.4950284156778259,-2.301665661744996,2,0
1,1,1,1,3,1,0,1,1,1,1,1,1,0,0,0,0,0,1,3,0,1,"Ja, fyra gånger eller fler",318,1,-1.4674746066576587,-1.010888067071438,-1.6063751634076562,-2.0379807530255083,-1.0928668292272012,4,0
0,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,1,0,1,3,0,0,"Ja, tre gånger",319,1,-5.024799192694458,-2.9573233883018992,-1.6063751634076562,-2.0379807530255083,-3.047461891693005,1,0
0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,1,3,1,0,"Ja, två gånger",320,1,-5.024799192694458,-2.9573233883018992,-1.2010180254737783,-2.9018120147782236,-3.0474618916930045,1,0
0,0,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,0,0,3,0,0,"Ja, fyra gånger eller fler",321,1,-5.024799192694458,-2.1824896947585763,-1.6063751634076562,-2.9018120147782236,-2.301665661744996,2,0
1,0,0,0,3,1,1,1,0,1,0,1,1,1,1,0,1,0,1,3,0,0,"Ja, fyra gånger eller fler",322,1,-3.690596287930736,-1.010888067071438,-1.2010180254737783,-2.0379807530255083,-1.6846662114014068,3,0
0,0,0,0,3,1,1,0,0,0,0,1,2,1,0,0,1,0,0,3,0,1,"Ja, tre gånger",323,1,-5.024799192694458,-1.5670801665531795,-1.6063751634076562,-2.0379807530255083,-3.047461891693005,1,0
2,2,2,2,1,1,2,3,2,2,2,3,3,2,2,2,2,2,1,2,2,2,Nej,325,0,3.1026330451050166,2.774678890163071,2.187672542375579,1.681873843351298,2.393362661121786,10,1
0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,Nej,327,0,-5.024799192694458,-1.56708016655318,-0.49131745167053503,-4.289480196087306,-4,0,0
2,1,1,1,1,1,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,"Ja, två gånger",328,1,1.0184289485454512,0.6131642011273593,0.8899171831508687,-0.4950284156778258,0.6712963103208983,7,0
2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,Nej,329,0,3.1026330451050166,0.6131642011273593,1.7132660161098876,1.681873843351298,2.393362661121786,10,1
2,3,2,3,0,2,3,2,2,2,2,2,3,2,2,2,2,2,3,1,2,3,Nej,330,0,4.548904768653118,2.7746788901630715,2.187672542375579,4.121989414829278,3.6070710534001105,12,1
2,1,1,1,2,0,1,2,0,1,2,2,2,1,1,1,1,2,1,1,2,1,Nej,331,0,0.2956039891426443,-0.4714819625098113,0.5253821462150612,0.24873661708094036,0.1046015446215949,6,0
2,2,1,1,2,2,0,0,1,2,1,2,2,2,2,1,2,2,0,2,1,1,Nej,332,0,1.0184289485454512,-0.47148196250981145,0.8899171831508689,0.24873661708094105,1.7921523997348396,9,1
1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,1,"Ja, tre gånger",333,1,-0.5843707865738103,0.0690400274080155,0.5253821462150611,-0.4950284156778258,0.10460154462159484,6,0
3,2,2,2,0,2,2,3,2,2,2,3,3,2,3,2,3,2,2,1,3,3,Nej,335,0,3.865587103432423,3.327324219782887,3.2792549970355394,4.121989414829278,3.607071053400111,12,1
2,1,2,3,1,3,3,3,3,3,2,3,3,2,3,2,2,3,1,1,3,2,"Ja, fyra gånger eller fler",336,1,3.1026330451050157,5.973920818306586,3.9132917419548976,2.522836086014548,3.005637135808732,11,1
0,0,1,1,3,0,1,0,1,2,1,1,3,1,1,0,1,2,1,3,0,2,Nej,339,0,-2.8972037232013728,-1.5670801665531795,0.1798013671878686,0.9501695254740972,-1.092866829227201,4,0
3,3,3,3,0,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,Nej,340,0,7.295476831510103,4.66968312733143,4.688697376262989,6.281357121823078,4,15,1
2,1,1,1,0,0,1,2,0,1,1,1,2,2,2,1,1,1,1,1,2,2,Nej,341,0,0.2956039891426443,-1.010888067071438,0.8899171831508685,0.24873661708094072,0.1046015446215949,6,0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,342,NA,3.1026330451050166,2.2341832520823717,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
2,2,2,2,0,2,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,2,Nej,345,0,3.1026330451050166,2.7746788901630715,1.7132660161098876,0.9501695254740972,2.393362661121786,10,1
3,2,3,2,2,1,2,3,2,2,3,3,3,2,3,3,2,2,1,2,3,3,Nej,347,0,5.212645093423153,2.774678890163071,3.913291741954897,2.522836086014548,3.005637135808732,11,1
3,3,2,3,0,1,3,3,3,3,2,3,3,3,3,3,3,2,3,0,3,3,Nej,352,0,5.98298056550203,3.9273517066722574,4.688697376262988,4.941333282279011,4,15,1
2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nej,353,0,3.1026330451050166,2.2341832520823717,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
2,1,2,3,2,1,1,3,2,2,2,2,2,1,2,3,3,2,2,3,3,3,Nej,357,0,3.865587103432422,1.6955009110512618,1.7132660161098872,4.121989414829278,3.005637135808731,11,1
2,2,1,2,1,3,3,3,3,2,1,2,2,2,2,2,3,2,3,2,2,2,Nej,359,0,2.3469126011652683,4.66968312733143,1.2828974003997358,4.121989414829279,3.005637135808732,11,1
3,3,3,3,0,3,3,3,3,3,2,3,3,3,3,2,3,2,2,0,3,3,Nej,365,0,5.98298056550203,5.973920818306586,4.688697376262988,4.121989414829278,4,15,1
0,1,1,1,2,0,1,1,1,1,0,1,2,0,1,1,2,2,2,2,1,1,NA,367,NA,-1.4674746066576585,-1.010888067071438,-0.8355582562827562,1.6818738433512992,-0.4908497955986152,5,0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,370,NA,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Nej,371,0,7.295476831510103,5.973920818306586,6.017596473447941,6.281357121823078,4,15,1
3,2,3,3,0,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1,3,3,Nej,372,0,5.212645093423153,5.973920818306586,6.017596473447941,6.281357121823078,4,14,1
3,3,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,1,2,NA,375,NA,4.548904768653119,2.2341832520823717,1.7132660161098876,3.363966780516455,4,13,1
1,1,1,2,2,1,1,1,1,2,1,1,2,0,1,1,1,1,1,2,1,1,Nej,377,0,0.29560398914264474,-0.4714819625098114,-0.156090013723458,-0.4950284156778258,0.6712963103208989,7,0
3,2,3,2,1,3,3,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,Nej,385,0,5.212645093423153,3.927351706672258,6.017596473447941,4.121989414829278,3.607071053400112,12,1
1,1,1,1,0,2,2,1,1,1,2,2,3,3,1,1,2,1,1,1,1,2,"Ja, tre gånger",399,1,-0.5843707865738103,1.1559974701783016,1.2828974003997358,0.9501695254740972,0.10460154462159511,6,0
1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,"Ja, två gånger",415,1,-2.2037978408134937,-4.312299298208583,-1.6063751634076562,-2.9018120147782236,-1.6846662114014066,3,0
3,2,2,3,0,2,2,3,2,2,2,1,2,1,3,3,2,3,2,1,3,3,"Ja, en gång",418,1,5.212645093423153,2.2341832520823717,2.187672542375578,4.121989414829279,3.6070710534001114,12,1
2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,Nej,422,0,3.1026330451050166,2.2341832520823717,1.7132660161098876,2.522836086014548,2.393362661121786,10,1
2,2,2,2,0,2,2,2,2,3,3,3,2,2,2,2,2,3,2,1,2,3,Nej,427,0,3.1026330451050166,2.774678890163072,2.7091696510134984,4.121989414829279,3.0056371358087315,11,1
3,3,3,2,2,1,3,3,3,2,1,1,3,3,3,3,3,2,1,0,3,3,Nej,429,0,5.9829805655020305,2.774678890163071,3.27925499703554,3.363966780516454,4,13,1
2,3,3,3,2,1,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,"Ja, fyra gånger eller fler",434,1,5.982980565502031,3.3273242197828865,3.9132917419548976,3.3639667805164555,4,13,1
3,1,3,2,1,2,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,"Ja, två gånger",436,1,3.8655871034324223,3.327324219782887,0.17980136718786882,2.522836086014548,1.7921523997348396,9,1
3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,"Ja, två gånger",438,1,7.295476831510103,2.7746788901630715,2.1876725423755783,3.3639667805164555,4,13,1
1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,1,2,"Ja, två gånger",439,1,-0.5843707865738103,-0.4714819625098114,-0.15609001372345804,0.9501695254740968,-0.4908497955986152,5,0
2,2,1,2,0,2,1,2,1,1,2,1,1,1,2,2,2,3,3,2,1,2,Nej,440,0,2.3469126011652683,0.6131642011273589,0.17980136718786852,4.121989414829279,1.792152399734839,9,1
2,2,2,2,1,1,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,"Ja, två gånger",441,1,3.8655871034324223,3.327324219782887,4.688697376262989,4.121989414829278,3.6070710534001105,12,1
2,1,2,2,0,3,2,2,2,1,1,0,2,1,2,0,1,1,0,2,0,2,Nej,443,0,1.0184289485454514,1.6955009110512618,-0.15609001372345802,-0.4950284156778258,0.6712963103208983,7,0
3,3,2,2,0,3,3,3,2,2,3,3,3,3,3,2,2,2,2,1,3,3,Nej,452,0,4.548904768653119,4.669683127331431,4.68869737626299,3.3639667805164555,3.607071053400111,12,1
2,0,1,2,1,2,1,2,1,1,0,1,2,0,1,0,2,2,2,1,1,2,Nej,454,0,-0.5843707865738101,0.6131642011273589,-0.8355582562827562,2.522836086014548,0.6712963103208983,7,0
2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,0,2,2,2,2,2,Nej,456,0,3.8655871034324223,2.2341832520823717,2.1876725423755783,0.950169525474097,1.7921523997348396,9,1
3,3,3,2,1,3,3,3,3,2,2,2,2,2,3,2,3,3,3,1,3,3,Nej,458,0,5.212645093423153,4.66968312733143,2.7091696510134984,6.281357121823078,4,13,1
2,1,1,1,2,1,1,2,0,2,2,3,3,3,3,1,1,0,0,0,1,2,Nej,459,0,0.2956039891426443,0.6131642011273591,2.709169651013498,-1.2664597901862429,0.6712963103208983,7,0
3,3,3,2,1,3,3,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,Nej,460,0,5.212645093423153,3.3273242197828865,2.709169651013498,3.3639667805164546,3.607071053400111,12,1
2,2,1,2,0,0,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,Nej,461,0,2.3469126011652683,1.155997470178302,0.8899171831508688,0.9501695254740968,2.393362661121786,10,1
0,1,1,1,0,0,1,1,1,1,1,1,1,2,1,1,2,2,1,3,3,2,Nej,462,0,-1.4674746066576585,-1.010888067071438,0.5253821462150607,1.681873843351298,-0.4908497955986152,5,0
1,0,1,1,1,1,2,1,1,2,2,2,2,3,1,0,2,3,1,3,0,2,"Ja, två gånger",463,1,-2.2037978408134937,0.613164201127359,0.8899171831508688,2.522836086014548,0.104601544621595,6,0
2,2,1,2,1,3,3,3,3,3,3,3,3,3,3,1,3,2,1,2,3,2,Nej,465,0,1.6724902460457458,5.973920818306586,6.017596473447941,2.5228360860145487,3.6070710534001105,12,1
3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,"Ja, en gång",466,1,5.98298056550203,5.973920818306586,4.688697376262988,4.94133328227901,4,14,1
3,2,2,3,2,2,2,2,3,3,2,2,3,1,2,2,2,2,2,1,2,2,Nej,468,0,4.548904768653118,2.7746788901630715,2.187672542375579,2.522836086014548,4,13,1
3,2,3,3,0,3,3,3,3,3,2,3,3,3,3,2,3,3,3,1,3,3,Nej,470,0,5.212645093423153,5.973920818306586,4.688697376262988,6.281357121823078,4,14,1
2,2,1,2,0,2,2,3,2,1,2,2,3,1,2,2,1,2,2,2,3,2,Nej,471,0,2.3469126011652683,2.7746788901630715,1.7132660161098876,1.6818738433512983,1.2237390470267124,8,0
3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0,3,3,Nej,473,0,7.295476831510103,5.973920818306586,6.017596473447941,4.94133328227901,4,14,1
3,2,3,3,0,3,3,3,2,3,3,3,3,3,2,3,2,3,3,0,3,2,"Ja, en gång",475,1,5.982980565502031,4.669683127331431,4.68869737626299,4.121989414829279,4,13,1
1,2,1,1,2,0,0,1,1,1,1,0,2,2,0,1,0,0,0,3,1,1,"Ja, en gång",478,1,0.29560398914264485,-2.1824896947585763,-0.15609001372345804,-2.9018120147782236,-0.4908497955986153,5,0
3,3,3,3,0,2,2,3,3,2,2,2,3,2,2,3,2,2,2,1,3,3,Nej,479,0,7.295476831510103,3.327324219782887,2.709169651013498,3.3639667805164555,4,13,1
1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,Nej,480,0,-0.5843707865738103,-0.4714819625098114,0.8899171831508685,0.24873661708094036,-0.4908497955986152,5,0
2,2,2,2,1,2,1,2,2,1,1,3,2,2,2,1,3,1,3,2,2,2,Nej,481,0,2.3469126011652683,2.2341832520823717,0.8899171831508685,3.363966780516456,2.393362661121785,10,1
2,2,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,3,3,2,Nej,482,0,1.0184289485454512,-0.4714819625098114,0.8899171831508688,0.9501695254740968,0.6712963103208986,7,0
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Ja, två gånger",483,1,2.3469126011652683,2.2341832520823717,1.7132660161098876,2.522836086014548,1.7921523997348392,9,1
1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,"Ja, fyra gånger eller fler",484,1,-2.8972037232013728,-4.312299298208583,-2.734588581990118,-2.0379807530255083,-3.047461891693005,1,0
3,1,1,2,1,1,0,1,1,2,2,2,2,1,1,1,1,2,1,3,2,1,"Ja, fyra gånger eller fler",485,1,1.6724902460457458,-0.4714819625098115,0.8899171831508687,0.24873661708094036,1.79215239973484,9,1
3,2,2,2,2,0,0,0,0,2,2,2,3,2,3,1,2,2,3,1,1,2,"Ja, en gång",486,1,3.1026330451050166,-2.1824896947585763,2.187672542375578,3.363966780516455,3.005637135808732,11,1
2,1,1,2,0,2,1,3,1,2,1,1,2,2,2,1,3,3,2,1,3,2,Nej,490,0,1.0184289485454514,1.1559974701783011,1.7132660161098874,4.121989414829279,2.3933626611217855,10,1
0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,3,0,0,"Ja, en gång",491,1,-3.690596287930736,-4.312299298208583,-1.2010180254737786,-2.0379807530255083,-3.047461891693005,1,0
1,2,1,1,0,2,2,2,2,2,2,2,3,1,2,1,3,3,2,2,3,2,Nej,492,0,0.29560398914264485,2.2341832520823717,2.187672542375579,4.121989414829279,1.792152399734839,9,1
3,3,3,3,1,2,2,1,2,2,3,2,3,1,1,3,2,3,2,3,3,2,Nej,493,0,7.295476831510103,1.6955009110512609,2.187672542375579,3.3639667805164546,4,13,1
2,2,2,2,0,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,3,2,Nej,494,0,3.1026330451050166,2.7746788901630715,3.9132917419548976,2.522836086014548,3.0056371358087315,11,1
1,1,2,1,1,1,2,2,1,1,2,2,3,3,1,1,3,3,3,1,3,3,"Ja, fyra gånger eller fler",495,1,0.29560398914264496,1.155997470178302,2.1876725423755787,6.281357121823078,0.671296310320898,7,0
2,2,1,2,0,1,2,3,2,3,3,3,3,3,3,2,2,3,2,2,3,2,Nej,496,0,2.3469126011652683,2.774678890163071,6.017596473447941,3.3639667805164546,3.0056371358087315,11,1
2,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,"Ja, två gånger",498,1,1.0184289485454514,0.0690400274080155,0.17980136718786882,0.9501695254740972,0.6712963103208983,7,0
2,2,2,2,0,2,2,2,2,2,3,3,3,2,2,2,2,3,3,0,0,2,Nej,502,0,3.1026330451050166,2.774678890163072,1.7132660161098872,4.121989414829279,2.393362661121786,10,1
2,1,1,2,1,2,1,1,1,2,1,1,3,2,2,1,1,3,3,2,2,2,Nej,503,0,1.0184289485454514,0.06904002740801539,1.7132660161098872,3.363966780516456,1.2237390470267122,8,0
1,1,1,1,1,1,2,1,1,0,1,1,2,0,2,1,2,2,1,1,1,2,Nej,504,0,-0.5843707865738103,0.06904002740801556,-0.4913174516705348,1.681873843351298,-0.4908497955986152,5,0
2,2,2,2,1,2,2,3,3,2,2,2,3,3,3,2,3,3,1,2,3,3,Nej,505,0,3.1026330451050166,3.327324219782887,3.913291741954898,4.121989414829279,3.005637135808732,11,1
3,1,2,2,0,2,2,3,3,1,3,3,2,1,3,2,3,3,3,0,3,3,Nej,506,0,3.102633045105016,3.9273517066722574,2.1876725423755783,6.281357121823078,2.393362661121785,10,1
2,2,2,3,0,3,3,3,3,2,2,2,2,2,2,1,2,2,2,1,2,2,Nej,507,0,3.102633045105017,4.66968312733143,1.7132660161098876,2.522836086014548,3.0056371358087315,11,1
3,2,3,3,0,2,2,3,3,2,3,3,3,2,2,2,2,2,1,1,3,3,Nej,511,0,5.212645093423153,3.9273517066722574,3.2792549970355394,2.522836086014548,3.6070710534001114,12,1
2,1,0,1,3,0,0,1,1,1,1,1,1,1,0,0,0,0,0,3,0,0,"Ja, två gånger",517,1,-1.4674746066576587,-1.5670801665531795,-1.2010180254737783,-4.289480196087306,-0.4908497955986156,5,0
1,0,0,1,1,2,1,1,1,1,2,1,2,0,2,0,2,2,2,2,0,1,"Ja, två gånger",519,1,-2.8972037232013728,0.06904002740801539,-0.15609001372345815,1.6818738433512992,-0.4908497955986152,5,0
2,2,2,2,1,1,2,1,1,2,3,2,3,2,2,2,3,3,3,1,3,3,"Ja, två gånger",522,1,3.1026330451050166,0.613164201127359,3.2792549970355394,6.281357121823078,3.005637135808732,11,1
3,2,2,3,2,2,2,2,2,3,3,3,3,2,3,3,3,3,2,1,3,3,Nej,529,0,5.212645093423153,2.774678890163072,4.688697376262989,4.94133328227901,4,14,1
